week,price,nights,month,unit,trt
40,222.51280193236715,4140,9,sf,0
41,227.94902334444973,4198,10,sf,0
42,224.45814821396837,5627,10,sf,0
43,215.1951777177302,4811,10,sf,0
44,220.09545875810937,4316,10,sf,0
45,224.96863742318288,4719,11,sf,0
46,232.08394351464435,3824,11,sf,0
47,334.85117204776645,4522,11,sf,0
48,233.79246624022744,2814,11,sf,0
49,219.46670081967213,3904,12,sf,0
50,220.5812167749557,5079,12,sf,0
51,223.1167701863354,2415,12,sf,0
52,236.5204416592062,3351,12,sf,0
8,108.06854345165239,817,2,tc,0
9,102.32301740812379,517,2,tc,0
10,382.97126969416126,3237,3,tc,0
11,186.64468371467026,2229,3,tc,0
12,118.71437054631829,1684,3,tc,0
13,129.24745762711865,1770,3,tc,0
14,417.9771986970684,3991,4,tc,0
15,225.43561151079138,2780,4,tc,0
16,132.44209514656416,2081,4,tc,0
17,147.99468342194297,2069,4,tc,0
18,270.59205350118015,2542,4,tc,0
19,310.5408687529192,4282,5,tc,0
20,150.85397465437788,3472,5,tc,0
21,151.27959183673468,2940,5,tc,0
22,253.2196412819759,3401,5,tc,0
23,279.4593451066961,5436,6,tc,0
24,159.16463414634146,4100,6,tc,0
25,174.59414700544465,4408,6,tc,0
26,169.8891371125384,3581,6,tc,0
27,185.44350922628684,3089,7,tc,0
28,289.21702256550054,6603,7,tc,0
29,160.0886274509804,5100,7,tc,0
30,164.23785008237232,4856,7,tc,0
31,162.43397990184621,4279,7,tc,0
32,281.47364400305577,6545,8,tc,0
33,171.06230180936393,5361,8,tc,0
34,166.0916349809886,5260,8,tc,0
35,176.67151767151768,4810,8,tc,0
36,179.44193665817255,2747,9,tc,0
37,296.8621394968296,4889,9,tc,0
38,204.2564650981917,5143,9,tc,0
39,158.8423446184942,3958,9,tc,0
40,160.93967374576792,3249,9,tc,0
41,169.84751990202082,3266,10,tc,0
42,308.6347471451876,6130,10,tc,0
43,155.98702918433526,4009,10,tc,0
44,306.40945977277994,4313,10,tc,0
45,226.70832173671027,3593,11,tc,0
46,152.95104458995945,3207,11,tc,0
47,147.27068793619142,2006,11,tc,0
48,180.56730434782608,2875,11,tc,0
49,327.7626112759644,2022,12,tc,0
50,273.0264331210191,3140,12,tc,0
51,162.8171713300115,2609,12,tc,0
52,200.42551046130578,3967,12,tc,0
